,ch-free,chi-inuse,imp(%),osg-inuse
2021-07-16 16:43:07.854058+00:00,273,1,0.0,0
2021-07-16 16:43:07.929277+00:00,273,1,0.0,0
2021-07-16 16:43:08.000858+00:00,273,1,0.0,0
2021-07-16 16:43:08.075940+00:00,273,1,0.0,0
2021-07-16 16:43:08.155455+00:00,273,1,0.0,0
2021-07-16 16:43:08.221860+00:00,273,1,0.0,0
2021-07-16 16:43:08.288302+00:00,273,1,0.0,0
2021-07-16 16:43:08.353287+00:00,273,1,0.0,0
2021-07-16 16:43:08.411436+00:00,273,1,0.0,0
2021-07-16 16:43:08.486360+00:00,273,1,0.0,0
